A      1ALIMENTARY TRACT AND METABOLISM                                                                               
R03AL  4ADRENERGICS IN COMBINATION WITH ANTICHOLINERGICS INCL. TRIPLE COMBINATIONS WITH CORTICOSTEROIDS               
R03B   3OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS                                                        
R03BA  4GLUCOCORTICOIDS                                                                                               
R03BB  4ANTICHOLINERGICS                                                                                              
R03BC  4ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS                                                                    
R03BX  4OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS                                                        
R03C   3ADRENERGICS FOR SYSTEMIC USE                                                                                  
R03CA  4ALPHA- AND BETA-ADRENORECEPTOR AGONISTS                                                                       
R03CB  4NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS                                                                    
R03CC  4SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS                                                                      
R03CK  4ADRENERGICS AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES                                                   
R03D   3OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES                                                          
R03DA  4XANTHINES                                                                                                     
R03DB  4XANTHINES AND ADRENERGICS                                                                                     
R03DC  4LEUKOTRIENE RECEPTOR ANTAGONISTS                                                                              
R03DX  4OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES                                                          
R03W   3HERBAL REMEDIES FOR OBSTRUCTIVE AIRWAY DISEASES FOR SYSTEMIC USE                                              
R03WA  4HERBAL REMEDIES FOR OBSTRUCTIVE AIRWAY DISEASES FOR SYSTEMIC USE CONTAINING ALKALOIDS                         
R03WB  4HERBAL REMEDIES FOR OBSTRUCTIVE AIRWAY DISEASES FOR SYSTEMIC USE CONTAINING KHELLIN                           
R03WX  4HERBAL REMEDIES FOR OBSTRUCTIVE AIRWAY DISEASES FOR SYSTEMIC USE, OTHER                                       
R05    2COUGH AND COLD PREPARATIONS                                                                                   
R05C   3EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS                                                      
R05CA  4EXPECTORANTS                                                                                                  
R05CB  4MUCOLYTICS                                                                                                    
R05CW  4HERBAL EXPECTORANTS AND EMOLLIENTS                                                                            
R05D   3COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS                                                      
R05DA  4OPIUM ALKALOIDS AND DERIVATIVES                                                                               
R05DB  4OTHER COUGH SUPPRESSANTS                                                                                      
R05F   3COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS                                                             
R05FA  4OPIUM DERIVATIVES AND EXPECTORANTS                                                                            
R05FB  4OTHER COUGH SUPPRESSANTS AND EXPECTORANTS                                                                     
R05X   3OTHER COLD PREPARATIONS                                                                                       
R05Y   3HERBAL COUGH AND COLD REMEDIES, OTHER                                                                         
R05YA  4HERBAL DIAPHORETICS AND OTHER HERBAL COUGH AND COLD REMEDIES                                                  
R06    2ANTIHISTAMINES FOR SYSTEMIC USE                                                                               
R06A   3ANTIHISTAMINES FOR SYSTEMIC USE                                                                               
R06AA  4AMINOALKYL ETHERS                                                                                             
R06AB  4SUBSTITUTED ALKYLAMINES                                                                                       
R06AC  4SUBSTITUTED ETHYLENE DIAMINES                                                                                 
R06AD  4PHENOTHIAZINE DERIVATIVES                                                                                     
R06AE  4PIPERAZINE DERIVATIVES                                                                                        
R06AK  4COMBINATIONS OF ANTIHISTAMINES                                                                                
R06AX  4OTHER ANTIHISTAMINES FOR SYSTEMIC USE                                                                         
R07    2OTHER RESPIRATORY SYSTEM PRODUCTS                                                                             
R07A   3OTHER RESPIRATORY SYSTEM PRODUCTS                                                                             
R07AA  4LUNG SURFACTANTS                                                                                              
R07AB  4RESPIRATORY STIMULANTS                                                                                        
R07AW  4HERBAL RESPIRATORY SYSTEM REMEDIES, OTHER                                                                     
R07AX  4OTHER RESPIRATORY SYSTEM PRODUCTS                                                                             
S      1SENSORY ORGANS                                                                                                
S01    2OPHTHALMOLOGICALS                                                                                             
S01A   3ANTIINFECTIVES                                                                                                
S01AA  4ANTIBIOTICS                                                                                                   
S01AB  4SULFONAMIDES                                                                                                  
S01AD  4ANTIVIRALS                                                                                                    
S01AE  4FLUOROQUINOLONES                                                                                              
S01AX  4OTHER ANTIINFECTIVES                                                                                          
S01B   3ANTIINFLAMMATORY AGENTS                                                                                       
S01BA  4CORTICOSTEROIDS, PLAIN                                                                                        
S01BB  4CORTICOSTEROIDS AND MYDRIATICS IN COMBINATION                                                                 
S01BC  4ANTIINFLAMMATORY AGENTS, NON-STEROIDS                                                                         
S01BW  4HERBAL ANTIINFLAMMATORY OPHTHALMOLOGICAL REMEDIES                                                             
S01C   3ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION                                                     
S01CA  4CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION                                                             
S01CB  4CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION                                                      
S01CC  4ANTIINFLAMMATORY AGENTS, NON-STEROIDS AND ANTIINFECTIVES IN COMBINATION                                       
S01E   3ANTIGLAUCOMA PREPARATIONS AND MIOTICS                                                                         
S01EA  4SYMPATHOMIMETICS IN GLAUCOMA THERAPY                                                                          
S01EB  4PARASYMPATHOMIMETICS                                                                                          
S01EC  4CARBONIC ANHYDRASE INHIBITORS                                                                                 
S01ED  4BETA BLOCKING AGENTS                                                                                          
S01EE  4PROSTAGLANDIN ANALOGUES                                                                                       
S01EX  4OTHER ANTIGLAUCOMA PREPARATIONS                                                                               
S01F   3MYDRIATICS AND CYCLOPLEGICS                                                                                   
S01FA  4ANTICHOLINERGICS                                                                                              
S01FB  4SYMPATHOMIMETICS EXCL. ANTIGLAUCOMA PREPARATIONS                                                              
S01G   3DECONGESTANTS AND ANTIALLERGICS                                                                               
S01GA  4SYMPATHOMIMETICS USED AS DECONGESTANTS                                                                        
S01GX  4OTHER ANTIALLERGICS                                                                                           
S01H   3LOCAL ANESTHETICS                                                                                             
S01HA  4LOCAL ANESTHETICS                                                                                             
S01J   3DIAGNOSTIC AGENTS                                                                                             
S01JA  4COLOURING AGENTS                                                                                              
S01JX  4OTHER OPHTHALMOLOGICAL DIAGNOSTIC AGENTS                                                                      
S01K   3SURGICAL AIDS                                                                                                 
S01KA  4VISCOELASTIC SUBSTANCES                                                                                       
S01KX  4OTHER SURGICAL AIDS                                                                                           
S01L   3OCULAR VASCULAR DISORDER AGENTS                                                                               
S01LA  4ANTINEOVASCULARISATION AGENTS                                                                                 
S01X   3OTHER OPHTHALMOLOGICALS                                                                                       
S01XA  4OTHER OPHTHALMOLOGICALS                                                                                       
S01XW  4HERBAL OPHTHALMOLOGICALS, OTHER                                                                               
S02    2OTOLOGICALS                                                                                                   
S02A   3ANTIINFECTIVES                                                                                                
S02AA  4ANTIINFECTIVES                                                                                                
S02AW  4HERBAL ANTIINFECTIVES                                                                                         
S02B   3CORTICOSTEROIDS                                                                                               
S02BA  4CORTICOSTEROIDS                                                                                               
S02C   3CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION                                                             
S02CA  4CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION                                                             
S02D   3OTHER OTOLOGICALS                                                                                             
S02DA  4ANALGESICS AND ANESTHETICS                                                                                    
S02DC  4INDIFFERENT PREPARATIONS                                                                                      
S02DW  4HERBAL OTOLOGICALS, OTHER                                                                                     
S03    2OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS                                                                  
S03A   3ANTIINFECTIVES                                                                                                
S03AA  4ANTIINFECTIVES                                                                                                
S03B   3CORTICOSTEROIDS                                                                                               
S03BA  4CORTICOSTEROIDS                                                                                               
S03C   3CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION                                                             
S03CA  4CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION                                                             
S03D   3OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS                                                            
V      1VARIOUS                                                                                                       
V01    2ALLERGENS                                                                                                     
V01A   3ALLERGENS                                                                                                     
V01AA  4ALLERGEN EXTRACTS                                                                                             
V01AW  4HERBAL ANTIALLERGY PREPARATIONS                                                                               
V03    2ALL OTHER THERAPEUTIC PRODUCTS                                                                                
V03A   3ALL OTHER THERAPEUTIC PRODUCTS                                                                                
V03AB  4ANTIDOTES                                                                                                     
V03AC  4IRON CHELATING AGENTS                                                                                         
V03AE  4DRUGS FOR TREATMENT OF HYPERKALEMIA AND HYPERPHOSPHATEMIA                                                     
V03AF  4DETOXIFYING AGENTS FOR ANTINEOPLASTIC TREATMENT                                                               
V03AG  4DRUGS FOR TREATMENT OF HYPERCALCEMIA                                                                          
V03AH  4DRUGS FOR TREATMENT OF HYPOGLYCEMIA                                                                           
V03AK  4TISSUE ADHESIVES                                                                                              
V03AM  4DRUGS FOR EMBOLISATION                                                                                        
V03AN  4MEDICAL GASES                                                                                                 
V03AX  4OTHER THERAPEUTIC PRODUCTS                                                                                    
V03AZ  4NERVE DEPRESSANTS                                                                                             
V04    2DIAGNOSTIC AGENTS                                                                                             
V04B   3URINE TESTS                                                                                                   
V04C   3OTHER DIAGNOSTIC AGENTS                                                                                       
V04CA  4TESTS FOR DIABETES                                                                                            
V04CB  4TESTS FOR FAT ABSORPTION                                                                                      
V04CC  4TESTS FOR BILE DUCT PATENCY                                                                                   
V04CD  4TESTS FOR PITUITARY FUNCTION                                                                                  
V04CE  4TESTS FOR LIVER FUNCTIONAL CAPACITY                                                                           
V04CF  4TUBERCULOSIS DIAGNOSTICS                                                                                      
V04CG  4TESTS FOR GASTRIC SECRETION                                                                                   
V04CH  4TESTS FOR RENAL FUNCTION AND URETERAL INJURIES                                                                
V04CJ  4TESTS FOR THYREOIDEA FUNCTION                                                                                 
V04CK  4TESTS FOR PANCREATIC FUNCTION                                                                                 
V04CL  4TESTS FOR ALLERGIC DISEASES                                                                                   
V04CM  4TESTS FOR FERTILITY DISTURBANCES                                                                              
V04CX  4OTHER DIAGNOSTIC AGENTS                                                                                       
V06    2GENERAL NUTRIENTS                                                                                             
V06A   3DIET FORMULATIONS FOR TREATMENT OF OBESITY                                                                    
V06AA  4LOW-ENERGY DIETS                                                                                              
V06B   3PROTEIN SUPPLEMENTS                                                                                           
V06C   3INFANT FORMULAS                                                                                               
V06CA  4NUTRIENTS WITHOUT PHENYLALANINE                                                                               
V06D   3OTHER NUTRIENTS                                                                                               
V06DA  4CARBOHYDRATES/PROTEINS/MINERALS/VITAMINS, COMBINATIONS                                                        
V06DB  4FAT/CARBOHYDRATES/PROTEINS/MINERALS/VITAMINS, COMBINATIONS                                                    
V06DC  4CARBOHYDRATES                                                                                                 
V06DD  4AMINO ACIDS, INCL. COMBINATIONS WITH POLYPEPTIDES                                                             
V06DE  4AMINO ACIDS/CARBOHYDRATES/MINERALS/VITAMINS, COMBINATIONS                                                     
V06DF  4MILK SUBSTITUTES                                                                                              
V06DW  4HERBAL NUTRIENTS                                                                                              
V06DX  4OTHER COMBINATIONS OF NUTRIENTS                                                                               
V07    2ALL OTHER NON-THERAPEUTIC PRODUCTS                                                                            
V07A   3ALL OTHER NON-THERAPEUTIC PRODUCTS                                                                            
V07AA  4PLASTERS                                                                                                      
V07AB  4SOLVENTS AND DILUTING AGENTS, INCL. IRRIGATING SOLUTIONS                                                      
V07AC  4BLOOD TRANSFUSION, AUXILIARY PRODUCTS                                                                         
V07AD  4BLOOD TESTS, AUXILIARY PRODUCTS                                                                               
V07AN  4INCONTINENCE EQUIPMENT                                                                                        
V07AR  4SENSITIVITY TESTS, DISCS AND TABLETS                                                                          
V07AS  4STOMI EQUIPMENT                                                                                               
V07AT  4COSMETICS                                                                                                     
V07AV  4TECHNICAL DISINFECTANTS                                                                                       
V07AW  4HERBAL NON-THERAPEUTIC PRODUCTS, ALL OTHER                                                                    
V07AX  4WASHING AGENTS ETC.                                                                                           
V07AY  4OTHER NON-THERAPEUTIC AUXILIARY PRODUCTS                                                                      
V07AZ  4CHEMICALS AND REAGENTS FOR ANALYSIS                                                                           
V08    2CONTRAST MEDIA                                                                                                
V08A   3X-RAY CONTRAST MEDIA, IODINATED                                                                               
V08AA  4WATERSOLUBLE, NEPHROTROPIC, HIGH OSMOLAR X-RAY CONTRAST MEDIA                                                 
V08AB  4WATERSOLUBLE, NEPHROTROPIC, LOW OSMOLAR X-RAY CONTRAST MEDIA                                                  
V08AC  4WATERSOLUBLE, HEPATOTROPIC X-RAY CONTRAST MEDIA                                                               
V08AD  4NON-WATERSOLUBLE X-RAY CONTRAST MEDIA                                                                         
V08B   3X-RAY CONTRAST MEDIA, NON-IODINATED                                                                           
V08BA  4BARIUM SULFATE CONTAINING X-RAY CONTRAST MEDIA                                                                
V08C   3MAGNETIC RESONANCE IMAGING CONTRAST MEDIA                                                                     
V08CA  4PARAMAGNETIC CONTRAST MEDIA                                                                                   
V08CB  4SUPERPARAMAGNETIC CONTRAST MEDIA                                                                              
V08CX  4OTHER MAGNETIC RESONANCE IMAGING CONTRAST MEDIA                                                               
V08D   3ULTRASOUND CONTRAST MEDIA                                                                                     
V08DA  4ULTRASOUND CONTRAST MEDIA                                                                                     
V09    2DIAGNOSTIC RADIOPHARMACEUTICALS                                                                               
V09A   3CENTRAL NERVOUS SYSTEM                                                                                        
V09AA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09AB  4IODINE (123I) COMPOUNDS                                                                                       
V09AX  4OTHER CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS                                                  
V09B   3SKELETON                                                                                                      
V09BA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09C   3RENAL SYSTEM                                                                                                  
V09CA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09CX  4OTHER RENAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS                                                            
V09D   3HEPATIC AND RETICULO ENDOTHELIAL SYSTEM                                                                       
V09DA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09DB  4TECHNETIUM (99MTC), PARTICLES AND COLLOIDS                                                                    
V09DX  4OTHER HEPATIC AND RETICULO ENDOTHELIAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS                                 
V09E   3RESPIRATORY SYSTEM                                                                                            
V09EA  4TECHNETIUM (99MTC), INHALANTS                                                                                 
V09EB  4TECHNETIUM (99MTC), PARTICLES FOR INJECTION                                                                   
V09EX  4OTHER RESPIRATORY SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS                                                      
V09F   3THYROID                                                                                                       
V09FX  4VARIOUS THYROID DIAGNOSTIC RADIOPHARMACEUTICALS                                                               
V09G   3CARDIOVASCULAR SYSTEM                                                                                         
V09GA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09GB  4IODINE (125I) COMPOUNDS                                                                                       
V09GX  4OTHER CARDIOVASCULAR SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS                                                   
V09H   3INFLAMMATION AND INFECTION DETECTION                                                                          
V09HA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09HB  4INDIUM (111IN) COMPOUNDS                                                                                      
V09HX  4OTHER DIAGNOSTIC RADIOPHARMACEUTICALS FOR INFLAMMATION AND INFECTION DETECTION                                
V09I   3TUMOUR DETECTION                                                                                              
V09IA  4TECHNETIUM (99MTC) COMPOUNDS                                                                                  
V09IB  4INDIUM (111IN) COMPOUNDS                                                                                      
V09IX  4OTHER DIAGNOSTIC RADIOPHARMACEUTICALS FOR TUMOUR DETECTION                                                    
V09X   3OTHER DIAGNOSTIC RADIOPHARMACEUTICALS                                                                         
V09XA  4IODINE (131I) COMPOUNDS                                                                                       
V09XX  4VARIOUS DIAGNOSTIC RADIOPHARMACEUTICALS                                                                       
V10    2THERAPEUTIC RADIOPHARMACEUTICALS                                                                              
V10A   3ANTIINFLAMMATORY AGENTS                                                                                       
V10AA  4YTTRIUM (90Y) COMPOUNDS                                                                                       
V10AX  4OTHER ANTIINFLAMMATORY THERAPEUTIC RADIOPHARMACEUTICALS                                                       
V10B   3PAIN PALLIATION (BONE SEEKING AGENTS)                                                                         
V10BX  4VARIOUS PAIN PALLIATION RADIOPHARMACEUTICALS                                                                  
V10X   3OTHER THERAPEUTIC RADIOPHARMACEUTICALS                                                                        
V10XA  4IODINE (131I) COMPOUNDS                                                                                       
V10XX  4VARIOUS THERAPEUTIC RADIOPHARMACEUTICALS                                                                      
V20    2SURGICAL DRESSINGS                                                                                            
V90    2UNSPECIFIED HERBAL AND TRADITIONAL MEDICINE                                                                   
V91    2HOMEOPATHIC PREPARATION                                                                                       
V98    2INVESTIGATIONAL DRUG                                                                                          
